epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,6127.64,0.65628,0.62841,0.9615,0.26428,0.22739,0.19223,0.13921,1.21004,4.04841,1.36792,0.000206267,0.000206267,0.000206267
64,6140.21,0.6516,0.60013,0.93851,0.30302,0.22484,0.19656,0.14999,1.21011,4.26069,1.37467,0.000204545,0.000204545,0.000204545
65,6152.72,0.65338,0.62348,0.96634,0.25076,0.24686,0.18205,0.13826,1.19782,4.2929,1.41249,0.000202824,0.000202824,0.000202824
66,6165.34,0.62781,0.56983,0.94447,0.32046,0.22574,0.18224,0.13795,1.2049,4.16747,1.3882,0.000201102,0.000201102,0.000201102
67,6177.79,0.63584,0.61206,0.9527,0.1903,0.26418,0.19881,0.1454,1.23231,3.84167,1.4367,0.000199381,0.000199381,0.000199381
68,6190.22,0.63811,0.56561,0.94569,0.40359,0.21698,0.19541,0.14261,1.20206,4.117,1.42064,0.000197659,0.000197659,0.000197659
69,6202.68,0.63253,0.58485,0.93233,0.25624,0.25035,0.22687,0.16846,1.19225,4.17988,1.36883,0.000195938,0.000195938,0.000195938
70,6215.42,0.60832,0.56743,0.91676,0.34095,0.19972,0.2032,0.15109,1.19558,4.35606,1.37445,0.000194217,0.000194217,0.000194217
71,6228.05,0.61979,0.56265,0.93392,0.24551,0.22296,0.17988,0.12984,1.20777,4.25409,1.38376,0.000192495,0.000192495,0.000192495
72,6240.55,0.61373,0.53835,0.92491,0.23908,0.27708,0.21413,0.1565,1.2174,4.32006,1.40406,0.000190774,0.000190774,0.000190774
73,6253.13,0.64543,0.64231,0.95048,0.23241,0.23965,0.18862,0.13953,1.22623,4.27743,1.42955,0.000189052,0.000189052,0.000189052
74,6265.72,0.61795,0.55778,0.92538,0.25515,0.30874,0.23824,0.16762,1.20636,4.29434,1.40111,0.000187331,0.000187331,0.000187331
75,6278.29,0.6227,0.56308,0.92506,0.22356,0.21715,0.24881,0.18145,1.21496,4.57734,1.41659,0.000185609,0.000185609,0.000185609
